abbr;time;rre150h0
SMA;201805052200;0.0
SMA;201805052300;0.0
SMA;201805060000;0.0
SMA;201805060100;0.0
SMA;201805060200;0.0
SMA;201805060300;0.0
SMA;201805060400;0.0
SMA;201805060500;0.0
SMA;201805060600;0.0
SMA;201805060700;0.0
SMA;201805060800;0.0
SMA;201805060900;0.0
SMA;201805061000;0.0
SMA;201805061100;0.0
SMA;201805061200;0.0
SMA;201805061300;0.0
SMA;201805061400;0.0
SMA;201805061500;0.0
SMA;201805061600;0.0
SMA;201805061700;0.0
SMA;201805061800;0.0
SMA;201805061900;0.0
SMA;201805062000;0.0
SMA;201805062100;0.0
SMA;201805062200;0.0
SMA;201805062300;0.0
SMA;201805070000;0.0
SMA;201805070100;0.0
SMA;201805070200;0.0
SMA;201805070300;0.0
SMA;201805070400;0.0
SMA;201805070500;0.0
SMA;201805070600;0.0
SMA;201805070700;0.0
SMA;201805070800;0.0
SMA;201805070900;0.0
SMA;201805071000;0.0
SMA;201805071100;0.0
SMA;201805071200;0.0
SMA;201805071300;0.0
SMA;201805071400;0.0
SMA;201805071500;0.0
SMA;201805071600;0.0
SMA;201805071700;0.0
SMA;201805071800;0.0
SMA;201805071900;0.0
SMA;201805072000;0.0
SMA;201805072100;0.0
SMA;201805072200;0.0
SMA;201805072300;0.0
SMA;201805080000;0.0
SMA;201805080100;0.0
SMA;201805080200;0.0
SMA;201805080300;0.0
SMA;201805080400;0.0
SMA;201805080500;0.0
SMA;201805080600;0.0
SMA;201805080700;0.0
SMA;201805080800;0.0
SMA;201805080900;0.0
SMA;201805081000;0.0
SMA;201805081100;0.0
SMA;201805081200;0.0
SMA;201805081300;0.0
SMA;201805081400;0.0
SMA;201805081500;0.0
SMA;201805081600;0.0
SMA;201805081700;0.0
SMA;201805081800;0.0
SMA;201805081900;0.0
SMA;201805082000;0.0
SMA;201805082100;0.0
SMA;201805082200;0.0
SMA;201805082300;0.0
SMA;201805090000;0.0
SMA;201805090100;0.0
SMA;201805090200;0.0
SMA;201805090300;0.0
SMA;201805090400;0.0
SMA;201805090500;0.0
SMA;201805090600;0.0
SMA;201805090700;0.0
SMA;201805090800;0.0
SMA;201805090900;0.0
SMA;201805091000;0.0
SMA;201805091100;0.0
SMA;201805091200;0.0
SMA;201805091300;0.0
SMA;201805091400;0.0
SMA;201805091500;0.0
SMA;201805091600;0.0
SMA;201805091700;0.0
SMA;201805091800;0.0
SMA;201805091900;0.0
SMA;201805092000;0.0
SMA;201805092100;0.0
SMA;201805092200;0.0
SMA;201805092300;0.0
SMA;201805100000;0.0
SMA;201805100100;0.0
SMA;201805100200;0.0
SMA;201805100300;0.0
SMA;201805100400;1.2
SMA;201805100500;0.3
SMA;201805100600;0.1
SMA;201805100700;1.5
SMA;201805100800;0.3
SMA;201805100900;1.0
SMA;201805101000;0.8
SMA;201805101100;0.0
SMA;201805101200;0.0
SMA;201805101300;0.7
SMA;201805101400;3.7
SMA;201805101500;0.0
SMA;201805101600;0.0
SMA;201805101700;0.0
SMA;201805101800;0.0
SMA;201805101900;0.0
SMA;201805102000;0.0
SMA;201805102100;0.0
SMA;201805102200;0.0
SMA;201805102300;0.0
SMA;201805110000;0.0
SMA;201805110100;0.0
SMA;201805110200;0.0
SMA;201805110300;0.0
SMA;201805110400;0.0
SMA;201805110500;0.0
SMA;201805110600;0.0
SMA;201805110700;0.0
SMA;201805110800;0.0
SMA;201805110900;0.0
SMA;201805111000;0.0
SMA;201805111100;0.0
SMA;201805111200;0.0
SMA;201805111300;0.0
SMA;201805111400;0.0
SMA;201805111500;0.0
SMA;201805111600;0.0
SMA;201805111700;0.0
SMA;201805111800;0.0
SMA;201805111900;0.0
SMA;201805112000;0.0
SMA;201805112100;0.0
SMA;201805112200;0.0
SMA;201805112300;0.0
SMA;201805120000;0.0
SMA;201805120100;0.0
SMA;201805120200;0.0
SMA;201805120300;0.0
SMA;201805120400;0.0
SMA;201805120500;0.0
SMA;201805120600;0.0
SMA;201805120700;0.0
SMA;201805120800;0.0
SMA;201805120900;0.0
SMA;201805121000;0.0
SMA;201805121100;0.0
SMA;201805121200;0.0
SMA;201805121300;0.0
SMA;201805121400;0.0
SMA;201805121500;0.0
SMA;201805121600;0.0
SMA;201805121700;0.0
SMA;201805121800;0.0
SMA;201805121900;0.0
SMA;201805122000;0.0
SMA;201805122100;0.0
SMA;201805122200;0.0
SMA;201805122300;0.1
SMA;201805130000;0.0
SMA;201805130100;0.0
SMA;201805130200;0.0
SMA;201805130300;0.0
SMA;201805130400;0.0
SMA;201805130500;0.0
SMA;201805130600;0.0
SMA;201805130700;0.0
SMA;201805130800;0.0
SMA;201805130900;0.0
SMA;201805131000;0.0
SMA;201805131100;0.0
SMA;201805131200;0.0
SMA;201805131300;0.0
SMA;201805131400;0.0
SMA;201805131500;0.0
SMA;201805131600;0.0
SMA;201805131700;0.0
SMA;201805131800;0.0
SMA;201805131900;0.0
SMA;201805132000;0.0
SMA;201805132100;0.0
SMA;201805132200;1.0
SMA;201805132300;0.1
SMA;201805140000;0.0
SMA;201805140100;0.0
SMA;201805140200;0.0
SMA;201805140300;0.0
SMA;201805140400;0.0
SMA;201805140500;0.0
SMA;201805140600;0.0
SMA;201805140700;0.0
SMA;201805140800;0.0
SMA;201805140900;0.0
SMA;201805141000;0.0
SMA;201805141100;0.0
SMA;201805141200;0.0
SMA;201805141300;0.0
SMA;201805141400;0.0
SMA;201805141500;0.0
SMA;201805141600;0.0
SMA;201805141700;0.0
SMA;201805141800;2.7
SMA;201805141900;6.5
SMA;201805142000;3.4
SMA;201805142100;3.6
SMA;201805142200;0.6
SMA;201805142300;0.0
SMA;201805150000;0.0
SMA;201805150100;0.1
SMA;201805150200;0.0
SMA;201805150300;0.0
SMA;201805150400;0.0
SMA;201805150500;0.0
SMA;201805150600;0.0
SMA;201805150700;0.0
SMA;201805150800;0.0
SMA;201805150900;0.0
SMA;201805151000;0.0
SMA;201805151100;0.0
SMA;201805151200;2.4
SMA;201805151300;0.0
SMA;201805151400;0.3
SMA;201805151500;0.3
